ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,insider_names
COHN,Cohen &amp; Co Inc.,2018-01-05,2018-01-04,2018-01-04,600000,2,Ricciardi Christopher; Ricciardi Stephanie
ANW,Aegean Marine Petroleum Network Inc.,2018-01-18,2018-01-04,2018-01-16,457108,2,Roth August; Towle & Co
ANW,Aegean Marine Petroleum Network Inc.,2018-01-31,2018-01-16,2018-01-26,493167,2,Moore Justin; Towle & Co
RVLT,"Revolution Lighting Technologies, Inc.",2018-01-31,2018-01-29,2018-01-29,3600000,2,Depalma James; Lapenta Robert V
CPAH,Counterpath Corp,2018-01-31,2018-01-24,2018-01-24,1002500,2,Bruk Steven; Matthews Terence H
VICI,Vici Properties Inc.,2018-02-05,2018-02-01,2018-02-01,1224000,3,Kieske David Andrew; Payne John W R; Pitoniak Edward Baltazar
FTSI,"Fts International, Inc.",2018-02-06,2018-02-06,2018-02-06,306000,2,Doss Michael J; Harris Perry A
BCO,Brinks Co,2018-02-09,2018-02-08,2018-02-08,981730,2,Domanico Ronald James; Pertz Douglas A
EYEN,"Eyenovia, Inc.",2018-02-09,2018-01-29,2018-01-29,4550000,4,Eshelman Fredric N; Ianchulev Tsontcho; Labelle Curt H; Yoshida Shuhei
VCTR,"Victory Capital Holdings, Inc.",2018-02-12,2018-02-08,2018-02-08,383315,2,Brown David Craig; Sullivan Terence Francis
GRA,W R Grace &amp; Co,2018-02-13,2018-02-12,2018-02-13,1980696,2,Blaser Thomas E; Festa Alfred E
MOTS,"Motus Gi Holdings, Inc.",2018-02-21,2018-02-16,2018-02-16,800000,2,Hochman David P; Sherman Darren
CVON,"Convergeone Holdings, Inc.",2018-02-26,2018-02-22,2018-02-22,10000000,2,Goldberg Neil; Vogel Stephen A
XTNT,"Xtant Medical Holdings, Inc.",2018-02-26,2018-02-14,2018-02-14,13619794,2,Eggenberg Michael; Rizzo Matthew
PRIM,Primoris Services Corp,2018-02-27,2018-02-26,2018-02-26,274064,2,King David Lee; McCormick Thomas Edward
STOR,Store Capital Corp,2018-02-28,2018-02-27,2018-02-27,200603,2,Long Catherine F.; Volk Christopher H
RIG,Transocean Ltd.,2018-03-05,2018-03-01,2018-03-01,37167000,2,Mohn Frederik Wilhelm; Perestroika
TSRO,"Tesaro, Inc.",2018-03-06,2018-03-02,2018-03-02,55139872,7,Barrett M James; Barris Peter J; Baskett Forest; Kerins Patrick J; Mott David M; Sandell Scott D; Viswanathan Ravi
MTSI,"Macom Technology Solutions Holdings, Inc.",2018-03-08,2018-02-16,2018-02-22,311175,2,Dennehy Robert; Hwang Donghyun Thomas
VRX,"Valeant Pharmaceuticals International, Inc.",2018-03-13,2018-03-13,2018-03-13,722970,2,Herendeen Paul; Papa Joseph C
CRVS,"Corvus Pharmaceuticals, Inc.",2018-03-14,2018-03-12,2018-03-12,20849991,4,Gould Terry P; Miller Richard A Md; Novo Holdings A/s; Thompson Peter A.
AGN,Allergan Plc,2018-03-19,2018-03-08,2018-03-15,807123,3,Hilado Maria Teresa; Saunders Brent L; Walsh Matthew M
WOW,"Wideopenwest, Inc.",2018-03-21,2018-03-19,2018-03-20,10580406,2,"Crestview Partners III Gp, L.P.; Elder Teresa L"
CASI,"Casi Pharmaceuticals, Inc.",2018-03-23,2018-03-19,2018-03-21,19845671,2,He Wei-Wu; Idg-Accel China Growth Fund III L.P.
SLB,Schlumberger Limited/nv,2018-03-26,2018-03-26,2018-03-26,970750,2,Kibsgaard Paal; Schorn Patrick
MYOV,Myovant Sciences Ltd.,2018-04-04,2018-03-19,2018-04-02,183543077,3,Lo Andrew; Machado Patrick; Takeda Pharmaceuticals International AG
GNPX,"Genprex, Inc.",2018-04-05,2018-03-29,2018-03-29,450000,2,Nance Christy M.; Roth Jack A
ICPT,Intercept Pharmaceuticals Inc,2018-04-09,2018-04-09,2018-04-09,50499968,3,Genextra S.P.A.; Micheli Francesco; Pruzanski Mark
SURF,"Surface Oncology, Inc.",2018-04-23,2018-04-23,2018-04-23,25489950,12,"Atlas Venture Fund Ix, L.P.; Barrett M James; Barris Peter J; Baskett Forest; Florence Anthony A. Jr.; Kerins Patrick J; Mott David M; New Enterprise Associates 14, L.P.; Sandell Scott D; Shanafelt Armen; Sonsini Peter W.; Viswanathan Ravi"
CART,"Carolina Trust Bancshares, Inc.",2018-04-25,2018-04-23,2018-04-23,215000,2,Ocheltree Jerry L; Rhyne Johnathan L Jr
RDN,Radian Group Inc,2018-05-01,2018-04-30,2018-04-30,578660,2,Brummer Derek; Thornberry Richard G
CLBK,"Columbia Financial, Inc.",2018-05-01,2018-04-19,2018-04-30,1951045,4,"Allen, Jr. Edward Thomas; Gibney Dennis E.; Kelly Geri M.; Kemly Thomas J."
VSTO,Vista Outdoor Inc.,2018-05-08,2018-05-04,2018-05-04,531600,2,Lopez Miguel A; Metz Christopher T
INSP,"Inspire Medical Systems, Inc.",2018-05-09,2018-05-07,2018-05-07,10000000,3,Erony Joyce; Khuong Chau Quang; Tansey Casey M
SIEN,"Sientra, Inc.",2018-05-09,2018-05-07,2018-05-07,7700022,3,Abingworth LLP; Haines Timothy; Williams Patrick F.
XRAY,Dentsply Sirona Inc.,2018-05-09,2018-05-09,2018-05-09,3237220,2,Alexos Nicholas W; Casey Donald M Jr.
AMP,Ameriprise Financial Inc,2018-05-10,2018-05-02,2018-05-10,1506682,2,Berman Walter Stanley; Cracchiolo James M
ARNC,Arconic Inc.,2018-05-15,2018-05-15,2018-05-15,14368800,2,"Elliott Associates, L.P.; Elliott International, L.P."
EFC,Ellington Financial LLC,2018-05-15,2018-05-10,2018-05-11,1640089,2,Penn Laurence; Vranos Michael W
COMM,"Commscope Holding Company, Inc.",2018-05-15,2018-05-04,2018-05-11,996331,4,Karlsson Peter U; Kurk Morgan C S; Pease Alexander W; Wyatt Frank B II
HBI,Hanesbrands Inc.,2018-05-18,2018-05-16,2018-05-17,691468,2,Evans Gerald; Hytinen Barry
EARN,Ellington Residential Mortgage Reit,2018-05-23,2018-05-09,2018-05-21,1323624,2,Blackstone Holdings III L.P.; Penn Laurence
GFN,General Finance Corp,2018-05-29,2018-05-10,2018-05-24,5732330,2,Havner Leeann R; Havner Ronald L Jr
SRRK,Scholar Rock Holding Corp,2018-05-31,2018-05-29,2018-05-29,11299988,4,"Artal International S.C.A.; Nashat Amir; Polaris Venture Management Co. Vi, L.L.C.; Springer Timothy A"
ITRM,Iterum Therapeutics Plc,2018-05-31,2018-05-30,2018-05-30,42745417,6,"Canaan X L.P.; Healy James; Heron Patrick J; Hunt Ronald; Lathi Vijay K; Sofinnova Venture Partners Ix, L.P."
QTS,"Qts Realty Trust, Inc.",2018-06-04,2018-05-21,2018-05-31,5625764,2,Berson Jeffrey H.; Williams Chad L.
APEN,"Apollo Endosurgery, Inc.",2018-06-22,2018-06-20,2018-06-20,2399249,2,Crawford Matthew S; Newton Todd
EIDX,"Eidos Therapeutics, Inc.",2018-06-22,2018-06-22,2018-06-22,34000000,2,Kumar Neil; Satvat Ali J.
KML,Kinder Morgan Canada Ltd,2018-06-22,2018-06-06,2018-06-06,9548456,2,"Grosvenor Capital Management, L.P.; Grosvenor Holdings, L.L.C."
APTX,Aptinyx Inc.,2018-06-26,2018-06-25,2018-06-25,15324800,6,"Frazier Life Sciences Viii, L.P.; Gould Terry P; Khanna Ashish; New Leaf Venture Management Iii, L.L.C.; Ratcliffe Liam; Topper James N"
GFN,General Finance Corp,2018-06-27,2018-06-11,2018-06-25,14887970,2,Havner Leeann R; Havner Ronald L Jr
GFN,General Finance Corp,2018-06-27,2018-06-13,2018-06-26,3209254,2,Havner Leeann R; Havner Ronald L Jr
ARPO,"Aerpio Pharmaceuticals, Inc.",2018-07-02,2018-06-28,2018-06-28,9993376,2,Khuong Chau Quang; Satter Muneer A
USX,Us Xpress Enterprises Inc,2018-07-02,2018-06-18,2018-06-28,28190276,2,Fuller Max L; Fuller William Eric
TCDA,"Tricida, Inc.",2018-07-02,2018-07-02,2018-07-02,26640033,8,Bonita David P; Coufal Sandra I; Hejlek Edward J; Isern Brian M.; Klaerner Gerrit; Parker Geoffrey M.; Stahl Wilhelm; Van Beek Jeroen B
FNTE,Fintech Acquisition Corp. II,2018-07-02,2018-06-29,2018-06-29,5025000,2,Cohen Daniel G; McEntee James J III
FTSV,"Forty Seven, Inc.",2018-07-03,2018-07-02,2018-07-02,34969760,10,"Bird Jeffrey W; Clarus Lifesciences Iii, L.P.; Coxe Tench; Dyckerhoff Stefan A; Henner Dennis; Lightspeed Venture Partners Select Ii, L.P.; Pullara Samuel J III; Schaepe Christopher J; Speiser Michael L; White James N"
MSVB,"Mid-Southern Bancorp, Inc.",2018-07-12,2018-07-11,2018-07-11,400000,2,Babey Alexander G.; Benson Frank M.
WBA,"Walgreens Boots Alliance, Inc.",2018-07-17,2018-07-16,2018-07-16,219255237,2,Barra Ornella; Pessina Stefano
ALLK,Allakos Inc.,2018-07-23,2018-07-23,2018-07-23,12999996,4,"Alta Partners Viii, L.P.; Janney Daniel; McKearn John P; Rivervest Venture Fund Iii, L.P."
CNST,Constellation Pharmaceuticals Inc,2018-07-24,2018-07-23,2018-07-23,11000010,4,Evnin Anthony B; Flynn James E; Regents of the University of California; Tepper Robert I
REPL,"Replimune Group, Inc.",2018-07-26,2018-07-24,2018-07-24,7999995,3,"Forbion Capital Fund III Cooperatief U.A.; Omega Fund Iv, L.P.; Slootweg Hugo Alexander"
