ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,outcome_60d,outcome_90d,outcome_180d,iwm_60d,iwm_90d,iwm_180d
VICI,Vici Properties Inc.,2018-02-05,2018-02-01,2018-02-01,1224000,3,4791.6,$500M-$5B,True,False,13.21030330657959,-4.49,-3.17,-4.34,2018-02-12,2018-02-15,2018-03-07,False,,-12.54,0.48,6.85,4.79,13.67,4.35
CRVS,"Corvus Pharmaceuticals, Inc.",2018-03-14,2018-03-12,2018-03-12,20849991,4,886.3,$500M-$5B,False,True,10.010000228881836,2.2,11.99,10.89,2018-03-21,2018-03-26,2018-04-13,False,,23.15,-0.57,-43.55,5.83,7.6,-2.64
CLBK,"Columbia Financial, Inc.",2018-05-01,2018-04-19,2018-04-30,1951045,4,1799.8,$500M-$5B,False,False,15.550000190734863,0.45,2.77,9.2,2018-05-08,2018-05-11,2018-05-31,False,,7.79,8.82,-2.51,9.7,11.09,-4.43
ITRM,Iterum Therapeutics Plc,2018-05-31,2018-05-30,2018-05-30,42745417,6,2395.4,$500M-$5B,False,False,183.6000061035156,-1.96,-1.96,-19.53,2018-06-07,2018-06-11,2018-07-02,False,,-12.59,-41.61,-49.3,5.8,0.04,-2.83
SSP,E.W. Scripps Co,2018-10-02,2018-09-18,2018-10-02,1151559,3,1077.5,$500M-$5B,False,True,11.896519660949709,2.5,-1.65,5.55,2018-10-09,2018-10-12,2018-11-01,False,,-3.53,15.72,-6.41,-18.98,-6.7,-5.54
SSP,E.W. Scripps Co,2018-10-03,2018-09-19,2018-10-03,1224673,3,1087.5,$500M-$5B,False,True,11.896519660949709,-0.24,-0.24,4.82,2018-10-10,2018-10-15,2018-11-02,False,,-4.66,15.7,-8.01,-19.05,-7.25,-7.49
SSP,E.W. Scripps Co,2018-10-09,2018-09-20,2018-10-04,1509492,3,1114.6,$500M-$5B,False,True,11.86750316619873,1.28,5.26,8.44,2018-10-16,2018-10-19,2018-11-08,False,,-0.01,15.33,-10.73,-13.11,-2.03,-2.61
SSP,E.W. Scripps Co,2018-10-10,2018-09-25,2018-10-09,1451724,3,1084.8,$500M-$5B,False,True,11.635376930236816,4.11,9.66,5.05,2018-10-17,2018-10-22,2018-11-09,False,,4.28,21.38,-5.75,-9.17,0.48,0.66
SSP,E.W. Scripps Co,2018-10-11,2018-09-26,2018-10-10,1504735,3,1063.6,$500M-$5B,False,True,11.700664520263672,5.77,9.05,8.18,2018-10-18,2018-10-22,2018-11-12,False,,11.11,23.49,-4.12,-6.64,3.33,2.0
SSP,E.W. Scripps Co,2018-10-16,2018-10-02,2018-10-16,2016141,3,1098.7,$500M-$5B,False,True,12.114139556884766,3.35,-4.49,3.89,2018-10-23,2018-10-26,2018-11-15,False,,10.16,20.15,-4.87,-10.03,-0.5,-1.24
