ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,opportunistic_count,routine_insiders,insider_details,insider_vwap,market_cap_m,mcap_band,price,high_52w,low_52w,drawdown_52w_pct,near_52w_low,pre_cluster_close,pre_cluster_crash_pct,cmp_reliable,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_60d,outcome_90d,outcome_180d,outcome_7d_date,outcome_10d_date,outcome_30d_date,outcome_60d_date,outcome_90d_date,outcome_180d_date,iwm_7d,iwm_10d,iwm_30d,iwm_60d,iwm_90d,iwm_180d,alpha_7d,alpha_10d,alpha_30d,alpha_60d,alpha_90d,alpha_180d,delisted_or_acquired,notes
PBH,Prestige Consumer Healthcare Inc.,2018-02-07,2018-02-05,2018-02-07,777699,4,4,,"[{""name"": ""Jenness James M"", ""role"": ""Dir"", ""date"": ""2018-02-05"", ""price"": 35.47, ""value"": 148974.0}, {""name"": ""Lombardi Ronald M."", ""role"": ""CEO"", ""date"": ""2018-02-05"", ""price"": 35.94, ""value"": 251580.0}, {""name"": ""Costley Gary E"", ""role"": ""Dir"", ""date"": ""2018-02-05"", ""price"": 35.47, ""value"": 266025.0}, {""name"": ""Ricciardi Natale S"", ""role"": ""Dir"", ""date"": ""2018-02-07"", ""price"": 37.04, ""value"": 111120.0}]",35.84,1745.6,$500M-$3B,36.88999938964844,57.91999816894531,35.529998779296875,-36.3,True,46.0099983215332,-22.1,True,True,35.349998474121094,-2.66,-1.36,3.25,-7.27,-17.68,6.85,2018-02-14,2018-02-20,2018-03-09,2018-04-09,2018-05-08,2018-08-06,3.926,4.5654,9.2684,3.7455,8.7695,15.7272,-6.586,-5.9254,-6.0184,-11.0155,-26.4495,-8.8772,False,
SMPL,The Simply Good Foods Company,2018-02-09,2018-02-09,2018-02-09,9020070,4,4,,"[{""name"": ""Kash Arvin"", ""role"": ""Dir"", ""date"": ""2018-02-09"", ""price"": 12.4, ""value"": 186000.0}, {""name"": ""Ghez Nomi"", ""role"": ""Dir"", ""date"": ""2018-02-09"", ""price"": 12.4, ""value"": 252402.0}, {""name"": ""Kilts James M"", ""role"": ""Dir"", ""date"": ""2018-02-09"", ""price"": 12.4, ""value"": 8076864.0}, {""name"": ""Ratzan Brian K."", ""role"": ""Dir"", ""date"": ""2018-02-09"", ""price"": 12.4, ""value"": 504804.0}]",12.4,1243.3,$500M-$3B,13.430000305175781,14.520000457763672,11.140000343322754,-7.5,False,14.039999961853027,-11.7,True,True,13.170000076293945,4.4,2.05,5.01,-2.05,4.94,30.68,2018-02-16,2018-02-20,2018-03-12,2018-04-10,2018-05-10,2018-08-08,3.4962,2.6458,7.4514,3.7622,7.9227,13.7723,0.9038,-0.5958,-2.4414,-5.8122,-2.9827,16.9077,False,
BCO,The Brink's Company,2018-02-14,2018-02-08,2018-02-14,1281766,3,3,,"[{""name"": ""Domanico Ronald James"", ""role"": ""EVP, CFO"", ""date"": ""2018-02-08"", ""price"": 72.18, ""value"": 252630.0}, {""name"": ""Pertz Douglas A"", ""role"": ""Pres, CEO"", ""date"": ""2018-02-08"", ""price"": 72.91, ""value"": 729100.0}, {""name"": ""Stoeckert George I"", ""role"": ""Dir"", ""date"": ""2018-02-12"", ""price"": 75.87, ""value"": 151746.0}, {""name"": ""Stoeckert George I"", ""role"": ""Dir"", ""date"": ""2018-02-14"", ""price"": 74.15, ""value"": 148290.0}]",73.24,2815.3,$500M-$3B,68.36363983154297,80.51934051513672,46.716087341308594,-15.1,False,77.21973419189453,-5.2,True,True,67.85861206054688,1.69,0.68,-1.35,1.56,-2.98,5.7,2018-02-21,2018-02-26,2018-03-16,2018-04-16,2018-05-15,2018-08-13,-0.3665,1.4332,3.2722,1.9167,4.4684,9.646,2.0565,-0.7532,-4.6222,-0.3567,-7.4484,-3.946,False,
BKD,Brookdale Senior Living Inc.,2018-02-28,2018-02-27,2018-02-28,342799,3,3,,"[{""name"": ""Seward James R"", ""role"": ""Dir"", ""date"": ""2018-02-27"", ""price"": 6.98, ""value"": 104699.0}, {""name"": ""Baier Lucinda M"", ""role"": ""Pres, CEO"", ""date"": ""2018-02-27"", ""price"": 6.94, ""value"": 104100.0}, {""name"": ""Bumstead Frank M"", ""role"": ""Dir"", ""date"": ""2018-02-28"", ""price"": 6.7, ""value"": 134000.0}]",6.86,1559.5,$500M-$3B,6.53000020980835,15.239999771118164,6.809999942779541,-57.2,True,9.199999809265137,-25.4,True,True,6.550000190734863,14.05,12.82,-0.76,10.53,17.1,42.6,2018-03-07,2018-03-12,2018-04-02,2018-04-30,2018-05-29,2018-08-27,4.5282,6.1687,-0.9856,2.4835,7.9646,15.2787,9.5218,6.6513,0.2256,8.0465,9.1354,27.3213,False,
VCTR,"Victory Capital Holdings, Inc.",2018-02-28,2018-02-08,2018-02-28,4881315,4,4,,"[{""name"": ""Sullivan Terence Francis"", ""role"": ""CFO, Head of Strategy"", ""date"": ""2018-02-08"", ""price"": 13.0, ""value"": 182000.0}, {""name"": ""Hawkes James B"", ""role"": ""Dir"", ""date"": ""2018-02-08"", ""price"": 12.66, ""value"": 4240000.0}, {""name"": ""Brown David Craig"", ""role"": ""CEO, COB"", ""date"": ""2018-02-08"", ""price"": 12.2, ""value"": 201315.0}, {""name"": ""Davanzo Lawrence"", ""role"": ""Dir"", ""date"": ""2018-02-28"", ""price"": 12.9, ""value"": 258000.0}]",12.67,703.6,$500M-$3B,10.860365867614746,11.120342254638672,9.728204727172852,-2.3,True,,,True,False,10.969388961791992,-0.61,-3.21,-8.33,-15.44,-18.58,-26.38,2018-03-07,2018-03-12,2018-04-02,2018-04-30,2018-05-29,2018-08-27,4.5282,6.1687,-0.9856,2.4835,7.9646,15.2787,-5.1382,-9.3787,-7.3444,-17.9235,-26.5446,-41.6587,False,
FTAI,FTAI Aviation Ltd.,2018-03-01,2018-03-01,2018-03-01,1746187,3,3,,"[{""name"": ""Tuchman Martin"", ""role"": ""Dir"", ""date"": ""2018-03-01"", ""price"": 16.41, ""value"": 1301707.0}, {""name"": ""Goodwin Paul R"", ""role"": ""Dir"", ""date"": ""2018-03-01"", ""price"": 16.44, ""value"": 115080.0}, {""name"": ""Adams Joseph P. Jr."", ""role"": ""CEO"", ""date"": ""2018-03-01"", ""price"": 16.47, ""value"": 329400.0}]",16.42,927.6,$500M-$3B,9.042613983154297,10.971707344055176,7.450317859649658,-17.6,False,9.398836135864258,74.7,True,True,8.954928398132324,-2.69,0.98,-1.18,3.95,8.21,17.35,2018-03-08,2018-03-12,2018-04-02,2018-04-30,2018-05-30,2018-08-28,2.6715,4.4962,-2.5454,0.869,7.9481,13.5684,-5.3615,-3.5162,1.3654,3.081,0.2619,3.7816,False,
SMBK,"SmartFinancial, Inc.",2018-03-12,2018-03-06,2018-03-12,528747,3,3,,"[{""name"": ""Ogle David Austin"", ""role"": ""Dir"", ""date"": ""2018-03-06"", ""price"": 22.1, ""value"": 103862.0}, {""name"": ""Tucker Steven B."", ""role"": ""Dir"", ""date"": ""2018-03-06"", ""price"": 21.91, ""value"": 219100.0}, {""name"": ""Miller Ted Charles"", ""role"": ""Dir"", ""date"": ""2018-03-12"", ""price"": 23.02, ""value"": 205785.0}]",22.37,365.6,$200M-$500M,21.38390350341797,24.40422821044922,18.921173095703125,-12.4,True,20.677608489990234,8.2,True,True,21.514007568359375,2.38,0.13,1.12,4.92,8.77,3.76,2018-03-19,2018-03-22,2018-04-11,2018-05-11,2018-06-11,2018-09-10,-1.3757,-3.0013,-2.7736,1.1038,5.4872,8.3958,3.7557,3.1313,3.8936,3.8162,3.2828,-4.6358,False,
CRVS,"Corvus Pharmaceuticals, Inc.",2018-03-12,2018-03-12,2018-03-12,10849996,3,3,,"[{""name"": ""Thompson Peter A."", ""role"": ""Dir, 10%"", ""date"": ""2018-03-12"", ""price"": 8.5, ""value"": 4999998.0}, {""name"": ""Gould Terry P"", ""role"": ""Dir, 10%"", ""date"": ""2018-03-12"", ""price"": 8.5, ""value"": 4999998.0}, {""name"": ""Miller Richard A Md"", ""role"": ""Pres, CEO"", ""date"": ""2018-03-12"", ""price"": 8.5, ""value"": 850000.0}]",8.5,822.4,$500M-$3B,9.779999732971191,21.3700008392334,7.480000019073486,-54.2,False,9.880000114440918,-14.0,True,True,10.630000114440918,-3.76,1.13,3.67,-7.34,21.17,0.19,2018-03-19,2018-03-22,2018-04-11,2018-05-11,2018-06-11,2018-09-10,-1.3757,-3.0013,-2.7736,1.1038,5.4872,8.3958,-2.3843,4.1313,6.4436,-8.4438,15.6828,-8.2058,False,
RCUS,"Arcus Biosciences, Inc.",2018-03-19,2018-03-19,2018-03-19,2449980,3,3,,"[{""name"": ""Jaen Juan C."", ""role"": ""Pres"", ""date"": ""2018-03-19"", ""price"": 15.0, ""value"": 999990.0}, {""name"": ""Rosen Terry J"", ""role"": ""CEO"", ""date"": ""2018-03-19"", ""price"": 15.0, ""value"": 999990.0}, {""name"": ""Falberg Kathryn E"", ""role"": ""Dir"", ""date"": ""2018-03-19"", ""price"": 15.0, ""value"": 450000.0}]",15.0,711.9,$500M-$3B,16.729999542236328,,,,False,17.600000381469727,-14.8,True,False,17.200000762939453,-4.53,-10.23,-4.65,-6.28,-6.98,-24.77,2018-03-26,2018-03-29,2018-04-18,2018-05-18,2018-06-18,2018-09-17,-1.6359,-2.5982,1.0263,3.8426,8.16,9.1698,-2.8941,-7.6318,-5.6763,-10.1226,-15.14,-33.9398,False,
INSP,"Inspire Medical Systems, Inc.",2018-05-07,2018-05-07,2018-05-07,11320000,5,5,,"[{""name"": ""Nelson Marilyn C"", ""role"": ""Dir"", ""date"": ""2018-05-07"", ""price"": 16.0, ""value"": 1000000.0}, {""name"": ""Khuong Chau Quang"", ""role"": ""Dir, 10%"", ""date"": ""2018-05-07"", ""price"": 16.0, ""value"": 5000000.0}, {""name"": ""Tansey Casey M"", ""role"": ""Dir, 10%"", ""date"": ""2018-05-07"", ""price"": 16.0, ""value"": 3000000.0}, {""name"": ""Mead Dana G Jr."", ""role"": ""Dir"", ""date"": ""2018-05-07"", ""price"": 16.0, ""value"": 320000.0}, {""name"": ""Erony Joyce"", ""role"": ""Dir, 10%"", ""date"": ""2018-05-07"", ""price"": 16.0, ""value"": 2000000.0}]",16.0,486.8,$200M-$500M,24.049999237060547,,,,False,24.979999542236328,-35.9,True,False,24.139999389648438,21.79,38.28,27.88,54.14,92.17,88.82,2018-05-14,2018-05-17,2018-06-06,2018-07-06,2018-08-06,2018-11-05,0.887,2.4266,5.7657,6.988,6.3967,-1.89,20.903,35.8534,22.1143,47.152,85.7733,90.71,False,
